kinetics example 1: constant-pressure ignition,
time (s),Temperature (K),Density (kg/m3),Pressure (Pa),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,
0.0001,1001,0.257549,101325,0.285714,4.38111e-08,4.8221e-09,0.142857,1.58258e-09,1.55506e-07,1.12932e-07,5.29789e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85296e-22,3.09237e-19,2.6636e-20,6.16512e-20,1.4535e-14,9.12127e-19,2.48041e-23,1.08464e-14,3.16375e-20,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
0.00011,1001,0.257548,101325,0.285714,6.80685e-08,7.49387e-09,0.142857,2.46065e-09,2.4596e-07,1.76888e-07,8.53051e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01713e-22,7.48721e-19,6.46208e-20,1.51505e-19,2.25829e-14,2.22001e-18,9.57338e-23,1.71648e-14,7.67494e-20,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
0.00012,1001,0.257548,101325,0.285714,1.05617e-07,1.16293e-08,0.142857,3.82176e-09,3.86512e-07,2.7592e-07,1.36103e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19281e-22,1.80567e-18,1.56032e-19,3.68861e-19,3.50403e-14,5.37197e-18,3.64321e-22,2.69779e-14,1.85298e-19,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
0.00013,1001,0.257548,101325,0.285714,1.63777e-07,1.80345e-08,0.142856,5.93471e-09,6.04781e-07,4.29145e-07,2.15898e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.95332e-22,4.34521e-18,3.75719e-19,8.92793e-19,5.43363e-14,1.29538e-17,1.37341e-21,4.22018e-14,4.4612e-19,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
0.00014,1001.01,0.257548,101325,0.285713,2.53957e-07,2.79647e-08,0.142856,9.22205e-09,9.4384e-07,6.6607e-07,3.41514e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25118e-21,1.04474e-17,9.03537e-19,2.15333e-18,8.42556e-14,3.11798e-17,5.14532e-21,6.58101e-14,1.07258e-18,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
0.00015,1001.01,0.257547,101325,0.285712,3.94003e-07,4.33833e-08,0.142855,1.43539e-08,1.47117e-06,1.0322e-06,5.40287e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13294e-21,2.51259e-17,2.17257e-18,5.18416e-18,1.3072e-13,7.50131e-17,1.91994e-20,1.02426e-13,2.57806e-18,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
0.00016,1001.01,0.257546,101325,0.285711,6.12018e-07,6.73793e-08,0.142855,2.24068e-08,2.29324e-06,1.59759e-06,8.57621e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94087e-20,6.05161e-17,5.22936e-18,1.24755e-17,2.03054e-13,1.80606e-16,7.14763e-20,1.59258e-13,6.20178e-18,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
0.00017,1001.02,0.257544,101325,0.28571,9.52673e-07,1.04858e-07,0.142853,3.51432e-08,3.57978e-06,2.46988e-06,1.37119e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74091e-20,1.4618e-16,1.26169e-17,3.00475e-17,3.16083e-13,4.35781e-16,2.6581e-19,2.47601e-13,1.49495e-17,0,0,0,0,0,0,0,0,0.57143,0,0,0,0,0,
0.00018,1001.03,0.257542,101325,0.285707,1.488e-06,1.63716e-07,0.142851,5.55268e-08,5.6057e-06,3.81371e-06,2.21872e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46588e-19,3.54849e-16,3.05674e-17,7.2538e-17,4.93712e-13,1.05568e-15,9.88515e-19,3.85278e-13,3.61676e-17,0,0,0,0,0,0,0,0,0.571431,0,0,0,0,0,
0.00019,1001.05,0.257538,101325,0.285703,2.33658e-06,2.56925e-07,0.142848,8.87267e-08,8.82632e-06,5.87936e-06,3.65466e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31715e-19,8.68185e-16,7.45558e-17,1.75855e-16,7.75308e-13,2.57426e-15,3.68004e-18,6.0071e-13,8.80202e-17,0,0,0,0,0,0,0,0,0.571432,0,0,0,0,0,
0.0002,1001.08,0.257531,101325,0.285696,3.6995e-06,4.06412e-07,0.142842,1.44198e-07,1.40204e-05,9.04273e-06,6.16866e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62034e-18,2.15031e-15,1.83773e-16,4.29295e-16,1.22765e-12,6.34336e-15,1.37308e-17,9.39959e-13,2.16205e-16,0,0,0,0,0,0,0,0,0.571434,0,0,0,0,0,
0.00021,1001.12,0.257521,101325,0.285686,5.93191e-06,6.50743e-07,0.142834,2.40277e-07,2.25784e-05,1.38562e-05,1.07368e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45462e-17,5.42717e-15,4.60411e-16,1.05956e-15,1.96874e-12,1.58897e-14,5.14149e-17,1.47945e-12,5.38655e-16,0,0,0,0,0,0,0,0,0.571437,0,0,0,0,0,
0.00022,1001.2,0.257502,101325,0.285668,9.6954e-06,1.06138e-06,0.14282,4.14985e-07,3.71251e-05,2.10959e-05,1.93477e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12528e-17,1.40958e-14,1.18247e-15,2.66022e-15,3.21857e-12,4.08359e-14,1.93455e-16,2.35037e-12,1.371e-15,0,0,0,0,0,0,0,0,0.571442,0,0,0,0,0,
0.00023,1001.35,0.257469,101325,0.285638,1.63056e-05,1.77964e-06,0.142798,7.52945e-07,6.29565e-05,3.17455e-05,3.60428e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7625e-16,3.82143e-14,3.15244e-15,6.85696e-15,5.41529e-12,1.09212e-13,7.31672e-16,3.78876e-12,3.60084e-15,0,0,0,0,0,0,0,0,0.571451,0,0,0,0,0,
0.00024,1001.62,0.257405,101325,0.285582,2.85789e-05,3.10633e-06,0.142761,1.45519e-06,0.000111566,4.67196e-05,6.86567e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3759e-15,1.10258e-13,8.8764e-15,1.83944e-14,9.49928e-12,3.10612e-13,2.77227e-15,6.24652e-12,9.88456e-15,0,0,0,0,0,0,0,0,0.571465,0,0,0,0,0,
0.00025,1002.18,0.257273,101325,0.285474,5.29958e-05,5.73121e-06,0.142696,3.01898e-06,0.000209625,6.58192e-05,1.30313e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85278e-15,3.46343e-13,2.69591e-14,5.23349e-14,1.76448e-11,9.69479e-13,1.03702e-14,1.06572e-11,2.87141e-14,0,0,0,0,0,0,0,0,0.571491,0,0,0,0,0,
0.00026,1003.4,0.256984,101325,0.285248,0.000105243,1.13275e-05,0.142578,6.65056e-06,0.000421362,8.53783e-05,2.35051e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28744e-14,1.20339e-12,8.97974e-14,1.61407e-13,3.51683e-11,3.45472e-12,3.67484e-14,1.91154e-11,8.8348e-14,0,0,0,0,0,0,0,0,0.571541,0,0,0,0,0,
0.00027,1006.13,0.256332,101325,0.284752,0.000223694,2.40375e-05,0.142341,1.50321e-05,0.000898571,9.75882e-05,3.76904e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14622e-13,4.5521e-12,3.24278e-13,5.45958e-13,7.53649e-11,1.45296e-11,1.14624e-13,3.66848e-11,2.78117e-13,0,0,0,0,0,0,0,0,0.571645,0,0,0,0,0,
0.00028,1012.32,0.254865,101325,0.283618,0.000504671,5.44631e-05,0.141822,3.44782e-05,0.00199246,0.000100047,5.08032e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51557e-12,1.76092e-11,1.18579e-12,1.97242e-12,1.73173e-10,7.25014e-11,3.09822e-13,7.65247e-11,8.3126e-13,0,0,0,0,0,0,0,0,0.57187,0,0,0,0,0,
0.00029,1026.77,0.251508,101325,0.280842,0.00124125,0.000135683,0.140565,8.53347e-05,0.00463524,9.86477e-05,5.49251e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08679e-11,6.70986e-11,4.00119e-12,7.08871e-12,4.44057e-10,4.33428e-10,8.17376e-13,1.78576e-10,2.35014e-12,0,0,0,0,0,0,0,0,0.572391,0,0,0,0,0,
0.0003,1064.75,0.243114,101325,0.272609,0.00375009,0.000424114,0.136891,0.000263717,0.01221,9.42415e-05,3.91402e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32663e-10,2.90095e-10,1.25592e-11,2.4165e-11,1.48695e-09,3.59555e-09,2.39456e-12,5.22137e-10,8.0933e-12,0,0,0,0,0,0,0,0,0.573754,0,0,0,0,0,
0.00031,1207.75,0.216213,101325,0.228238,0.0212092,0.00270999,0.117565,0.00176085,0.0496348,8.00734e-05,2.14309e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.28818e-09,2.74298e-09,5.51429e-11,8.3805e-11,1.15157e-08,8.73984e-08,1.4242e-11,3.32675e-09,7.84005e-11,0,0,0,0,0,0,0,0,0.5788,0,0,0,0,0,
0.00032,1718.44,0.157221,101325,0.0540805,0.0809988,0.019761,0.0333197,0.0162749,0.196693,2.08315e-05,1.74858e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49589e-07,3.21483e-08,2.40486e-10,5.87344e-11,8.64686e-08,9.02436e-06,8.20648e-10,5.60276e-08,2.3686e-09,0,0,0,0,0,0,0,0,0.59884,0,0,0,0,0,
0.00033,1951.52,0.141064,101325,0.0544198,0.0586484,0.0166927,0.0283138,0.0207582,0.21096,1.34662e-05,7.33393e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9593e-08,2.92959e-08,5.13943e-10,1.6073e-10,7.85684e-08,2.37897e-05,1.95446e-09,6.38013e-08,3.90919e-09,0,0,0,0,0,0,0,0,0.610169,0,0,0,0,0,
0.00034,2082.3,0.13362,101325,0.0533224,0.0472492,0.0143939,0.0256112,0.0225591,0.220124,1.0396e-05,4.85278e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41081e-08,2.564e-08,7.05552e-10,2.56051e-10,7.03287e-08,3.50607e-05,2.81566e-09,6.75768e-08,4.56818e-09,0,0,0,0,0,0,0,0,0.616694,0,0,0,0,0,
0.00035,2172.17,0.129037,101325,0.0518872,0.0399585,0.0126875,0.0237135,0.0233873,0.227068,8.62288e-06,3.8201e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36509e-08,2.27912e-08,8.49363e-10,3.44006e-10,6.34818e-08,4.48929e-05,3.65631e-09,7.13733e-08,4.98978e-09,0,0,0,0,0,0,0,0,0.621244,0,0,0,0,0,
0.00036,2239.79,0.125839,101325,0.0504223,0.0347766,0.0113635,0.0222532,0.0237494,0.232674,7.47007e-06,3.27679e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.99926e-08,2.07335e-08,9.70403e-10,4.29419e-10,5.78311e-08,5.43304e-05,4.57441e-09,7.56672e-08,5.35788e-09,0,0,0,0,0,0,0,0,0.624699,0,0,0,0,0,
0.00037,2293.37,0.123442,101325,0.0490157,0.030861,0.0103019,0.0210705,0.0238581,0.237365,6.67245e-06,2.95387e-07,-9.15068e-33,1.37233e-33,-1.78572e-34,-6.6622e-36,4.84012e-34,-1.34617e-32,5.08031e-31,-4.9781e-31,5.12088e-34,1.17237e-33,-3.0067e-34,-9.41467e-36,-8.08051e-36,4.60177e-39,1.7558e-37,7.00134e-38,4.41209e-38,-1.20613e-37,-1.70539e-39,-6.35723e-37,3.03432e-37,1.57453e-39,8.97045e-08,1.93278e-08,1.08488e-09,5.17335e-10,5.31138e-08,6.39125e-05,5.61874e-09,8.05852e-08,5.7436e-09,-4.82187e-36,-5.18328e-34,-1.75001e-38,2.7718e-37,-9.13754e-36,-1.68103e-36,1.01094e-35,-2.00383e-35,0.627456,0,3.04602e-57,4.24651e-59,2.00489e-39,1.62447e-38,
0.00038,2337.31,0.121561,101325,0.0476939,0.0277814,0.00942981,0.0200809,0.0238192,0.241385,6.09911e-06,2.74914e-07,-2.09697e-34,2.61322e-35,1.50974e-34,1.83945e-35,8.1868e-34,-9.52771e-35,1.39579e-32,-1.34052e-31,1.50925e-35,1.98914e-34,2.50287e-35,1.01879e-36,1.46015e-36,2.94736e-40,1.03304e-38,7.36326e-39,2.593e-38,1.69171e-38,4.4582e-40,-1.53202e-38,8.60213e-40,2.95763e-40,1.0106e-07,1.84452e-08,1.20334e-09,6.12273e-10,4.9125e-08,7.39136e-05,6.81657e-09,8.61258e-08,6.17749e-09,-5.4376e-37,-1.20836e-35,1.29676e-39,-2.04469e-39,-4.02342e-38,-4.68714e-38,-1.18176e-36,-5.84994e-37,0.629729,0,-4.71443e-57,-1.26444e-58,1.36052e-40,-2.19285e-39,
0.00039,2374.19,0.120038,101325,0.0464628,0.0252898,0.00870025,0.0192343,0.0236912,0.244887,5.67626e-06,2.61563e-07,4.14309e-32,-1.63496e-32,-4.17354e-32,-1.3904e-32,-6.53771e-31,-8.88615e-31,3.95213e-30,3.07822e-32,-3.35531e-32,-8.73399e-32,-1.02808e-32,-1.58206e-34,-2.46561e-34,-3.46215e-43,-1.29919e-41,-4.07982e-42,-9.98439e-42,-1.10299e-41,-1.56577e-43,-1.46324e-42,2.20963e-43,-1.46268e-43,1.13102e-07,1.79803e-08,1.33253e-09,7.18023e-10,4.57138e-08,8.4462e-05,8.18332e-09,9.22316e-08,6.67263e-09,5.38195e-34,2.69357e-33,-5.64152e-37,-2.5572e-36,-2.1431e-35,8.89117e-36,2.09506e-34,2.92371e-34,0.631644,0,3.4164e-61,3.24299e-63,-8.27024e-44,2.02585e-42,
0.0004,2405.69,0.118775,101325,0.0453208,0.0232314,0.00808124,0.0184983,0.0235092,0.247972,5.35856e-06,2.52864e-07,-6.90357e-33,1.71205e-32,-4.64632e-33,3.67561e-33,-9.25169e-32,7.74596e-31,2.05112e-29,8.15101e-30,6.93738e-32,2.27809e-31,2.75664e-33,1.71875e-34,1.45324e-33,-3.19775e-45,-1.2366e-43,-6.79425e-44,-7.04135e-44,1.6312e-43,1.6948e-45,7.51486e-44,-1.2267e-44,4.81389e-45,1.25271e-07,1.78488e-08,1.47661e-09,8.37594e-10,4.27689e-08,9.56028e-05,9.72649e-09,9.88188e-08,7.23361e-09,-5.42118e-34,1.02215e-32,-4.2881e-37,3.69778e-36,1.04567e-34,8.66699e-35,1.43065e-33,8.88601e-34,0.633285,0,-8.21911e-64,1.16144e-65,-1.57488e-46,-2.09982e-44,
0.00041,2432.94,0.117709,101325,0.0442633,0.0215036,0.00755017,0.017851,0.023295,0.250716,5.11647e-06,2.47381e-07,-3.53053e-33,2.52609e-33,-1.95704e-33,-8.09406e-35,9.66319e-34,-5.08962e-33,2.13653e-29,1.52017e-29,2.94385e-33,7.54521e-33,1.39958e-35,1.21239e-36,8.55132e-36,-1.38028e-45,-5.29336e-44,-2.15514e-44,-1.0719e-44,4.2646e-44,8.33715e-46,8.26425e-45,-1.97134e-44,-8.82071e-46,1.37233e-07,1.79828e-08,1.6378e-09,9.73201e-10,4.02067e-08,0.000107334,1.14477e-08,1.05793e-07,7.86058e-09,-9.57855e-36,-4.47361e-34,-8.60131e-39,4.73369e-37,9.56329e-37,5.98986e-38,9.83553e-35,-1.26433e-35,0.634708,0,-4.63203e-64,-1.27712e-65,-4.51471e-46,-6.29765e-45,
0.00042,2456.76,0.116798,101325,0.0432851,0.020035,0.00709051,0.0172766,0.0230631,0.25317,4.92986e-06,2.44203e-07,2.91654e-37,1.14644e-36,3.75342e-37,-1.59375e-38,2.4045e-36,6.04626e-37,1.92412e-29,1.73909e-29,4.11203e-35,-1.74704e-36,4.81069e-38,3.70227e-39,6.94969e-39,-8.83783e-48,-2.29758e-46,2.40144e-47,4.66624e-47,4.26143e-48,8.0029e-50,-5.75933e-47,-7.00135e-47,-1.01526e-47,1.48789e-07,1.83271e-08,1.81695e-09,1.12629e-09,3.79632e-08,0.000119627,1.33438e-08,1.13056e-07,8.5512e-09,-9.96282e-37,-6.40468e-35,-5.05444e-40,-2.89376e-41,-1.03903e-40,-3.4885e-37,-1.34705e-35,-2.80541e-36,0.635954,0,-2.75669e-66,-2.23034e-68,-7.33788e-49,1.68432e-50,
0.00043,2477.73,0.116011,101325,0.0423808,0.0187744,0.00668981,0.0167633,0.022823,0.255378,4.78463e-06,2.42715e-07,1.00152e-36,3.2983e-37,-1.24306e-36,-8.52772e-38,-1.11688e-36,7.40806e-38,1.86995e-29,1.79962e-29,3.70275e-35,5.23805e-37,-3.84627e-38,-1.92947e-39,-3.15364e-39,2.57787e-49,6.45262e-48,-2.53695e-48,-7.87315e-48,-2.8586e-48,-6.29184e-50,9.33634e-47,-1.01361e-48,9.79647e-48,1.59824e-07,1.88361e-08,2.01385e-09,1.2976e-09,3.59883e-08,0.00013244,1.54082e-08,1.20514e-07,9.30168e-09,-1.01572e-38,-1.03815e-36,-1.16369e-41,1.05434e-41,-8.54853e-41,-5.54155e-39,-1.91478e-37,-3.24615e-38,0.637053,0,4.38326e-66,1.82977e-67,-2.60996e-50,1.05903e-48,
0.00044,2496.31,0.115325,101325,0.0415453,0.0176834,0.00633846,0.0163024,0.0225813,0.25737,4.67059e-06,2.42481e-07,-3.11324e-37,9.86503e-37,-9.06231e-37,-7.51118e-38,3.01737e-37,1.20557e-37,1.84709e-29,1.82813e-29,3.44184e-35,8.77942e-37,-9.33418e-39,2.22836e-42,1.31848e-39,-2.95335e-49,-9.97688e-48,-1.34473e-48,-7.17803e-48,-8.66486e-48,-1.61207e-49,-1.51703e-46,-2.09634e-47,6.97797e-48,1.70279e-07,1.94724e-08,2.22753e-09,1.48717e-09,3.42424e-08,0.000145723,1.76313e-08,1.28075e-07,1.01074e-08,5.83321e-39,1.87957e-37,1.87064e-42,2.26447e-41,-1.63027e-39,-9.40265e-40,6.02716e-38,1.552e-38,0.638028,0,2.84716e-66,1.06617e-67,-1.40195e-50,2.0348e-48,
0.00045,2512.85,0.114723,101325,0.0407738,0.0167332,0.00602892,0.0158867,0.0223426,0.259174,4.58028e-06,2.43178e-07,7.04841e-37,-5.87308e-37,1.18952e-37,1.47457e-38,1.36668e-37,9.75548e-39,1.83093e-29,1.84933e-29,3.2003e-35,1.2109e-37,8.15015e-39,2.88993e-40,4.36987e-41,-1.56689e-49,-5.28539e-48,-3.07869e-48,-9.67352e-48,-1.29333e-48,-5.34359e-50,-1.05644e-46,-2.25986e-47,2.8887e-48,1.80129e-07,2.0205e-08,2.45645e-09,1.69446e-09,3.26933e-08,0.000159426,2.00014e-08,1.35658e-07,1.09633e-08,2.51358e-39,5.5141e-38,1.16856e-42,-6.49574e-42,7.90798e-41,8.70824e-40,8.14008e-38,1.37782e-38,0.638896,0,1.64813e-66,7.54666e-68,-6.17323e-51,1.64661e-48,
0.00046,2527.63,0.114192,101325,0.0400618,0.015901,0.00575513,0.0155107,0.0221101,0.26081,4.50816e-06,2.4456e-07,1.75198e-38,-2.41957e-39,-1.07288e-38,-6.06021e-40,1.00526e-39,-2.3532e-40,1.81658e-29,1.8682e-29,3.0228e-35,2.31129e-37,-1.37042e-40,-4.51149e-43,1.29107e-41,-4.05616e-50,-1.29993e-48,2.13144e-49,-1.74941e-49,-1.71905e-49,-1.08077e-50,-1.19932e-47,-1.35923e-48,2.21801e-49,1.89372e-07,2.10083e-08,2.69869e-09,1.91845e-09,3.13148e-08,0.000173501,2.25054e-08,1.43189e-07,1.1864e-08,8.11459e-40,3.49886e-38,1.84466e-43,-2.82605e-43,1.52834e-41,4.42868e-40,8.23076e-38,1.47613e-38,0.639673,0,1.55477e-67,7.01619e-69,1.79721e-51,9.15267e-50,
0.00047,2540.87,0.113721,101325,0.0394053,0.0151689,0.00551217,0.0151698,0.0218859,0.262296,4.45007e-06,2.46436e-07,1.61095e-40,-8.98197e-41,-5.03616e-41,-2.88827e-42,-5.96316e-40,-5.43948e-41,1.80307e-29,1.88576e-29,2.86493e-35,2.28309e-37,-5.41519e-42,-4.79232e-43,-1.68089e-42,1.66445e-51,6.10505e-50,-7.86521e-51,-2.45621e-50,4.3419e-52,-1.23127e-52,-1.10647e-48,-8.22793e-50,1.38556e-50,1.98023e-07,2.18611e-08,2.95214e-09,2.15766e-09,3.0085e-08,0.000187899,2.51296e-08,1.50601e-07,1.28043e-08,7.23085e-40,3.47149e-38,1.75528e-43,-1.29995e-44,2.63819e-42,5.29689e-40,9.25266e-38,1.62527e-38,0.640369,0,7.3299e-69,3.83186e-70,3.5699e-54,2.371e-51,
0.00048,2552.77,0.113303,101325,0.0388004,0.0145224,0.00529596,0.0148601,0.0216714,0.263648,4.40284e-06,2.48657e-07,-1.06868e-40,1.67709e-40,-2.63759e-40,-1.96573e-41,-2.73337e-40,5.14096e-41,1.79023e-29,1.90224e-29,2.72802e-35,2.27524e-37,-1.64728e-42,-3.08782e-43,-5.96151e-43,-4.75132e-52,-1.6046e-50,-7.70031e-51,-3.73073e-50,-2.06592e-50,-4.30777e-52,-1.57172e-48,-6.47958e-50,2.72183e-50,2.06108e-07,2.27462e-08,3.21454e-09,2.41034e-09,2.89856e-08,0.000202579,2.78598e-08,1.57841e-07,1.37791e-08,7.95297e-40,3.85061e-38,1.81353e-43,4.32607e-45,1.39686e-43,6.13258e-40,1.04648e-37,1.79466e-38,0.640994,0,1.86291e-68,8.881e-70,-1.41479e-53,9.30806e-51,
