 Adding reactor (none)
0.0624 1175.81742529 155
0.0628 2898.68440025 156
0.0632 2796.16308645 157
0.0636 2742.70514603 158
0.064 2706.35652862 159
0.0644 2679.38212673 160
0.0648 2658.34154793 161
0.0652 2641.37228722 162
0.0656 2627.3491678 163
0.066 2615.5404313 164
0.0664 2605.44389963 165
0.0668 2596.70048289 166
0.0672 2589.0449539 167
0.0676 2582.27622876 168
0.068 2576.23854864 169
0.0684 2570.80909847 170
0.0688 2565.88958026 171
0.0692 2561.40031887 172
0.0696 2557.27603067 173
0.07 2553.46273298 174
0.0704 2549.91543133 175
0.0708 2546.59636281 176
0.0712 2543.47364826 177
0.0716 2540.52023657 178
0.072 2537.71307065 179
0.0724 2535.03242193 180
0.0728 2532.46135231 181
0.0732 2529.98527691 182
0.0736 2527.59160523 183
0.074 2525.26944315 184
0.0744 2523.00934692 185
0.0748 2520.80311547 186
0.0752 2518.64361681 187
0.0756 2516.52464048 188
0.076 2514.44077254 189
0.0764 2512.3872885 190
0.0768 2510.36006258 191
0.0772 2508.35548857 192
0.0776 2506.37041324 193
0.078 2504.40207731 194
0.0784 2502.44806533 195
0.0788 2500.50626244 196
0.0792 2498.57481592 197
0.0796 2496.6521025 198
0.08 2494.73669966 199
0.0804 2492.82736068 200
0.0808 2490.92299281 201
0.0812 2489.02263825 202
0.0816 2487.12545743 203
0.082 2485.23071473 204
0.0824 2483.33776559 205
0.0828 2481.44604497 206
0.0832 2479.55505829 207
0.0836 2477.66437234 208
0.084 2475.77360825 209
0.0844 2473.88243415 210
0.0848 2471.99056046 211
0.0852 2470.09773399 212
0.0856 2468.2037338 213
0.086 2466.30836729 214
0.0864 2464.41146682 215
0.0868 2462.51288665 216
0.0872 2460.61250038 217
0.0876 2458.71019856 218
0.088 2456.80588667 219
0.0884 2454.89948336 220
0.0888 2452.990919 221
0.0892 2451.08013421 222
0.0896 2449.16707859 223
0.09 2447.25170972 224
0.0904 2445.33399223 225
0.0908 2443.41389706 226
0.0912 2441.49140068 227
0.0916 2439.56648442 228
0.092 2437.63913403 229
0.0924 2435.70933914 230
0.0928 2433.77709277 231
0.0932 2431.84239112 232
0.0936 2429.90523312 233
0.094 2427.96562004 234
0.0944 2426.0235557 235
0.0948 2424.07904561 236
0.0952 2422.1320972 237
0.0956 2420.18271954 238
0.096 2418.2309232 239
0.0964 2416.2767201 240
0.0968 2414.32012339 241
0.0972 2412.36114736 242
0.0976 2410.39980738 243
0.098 2408.43611974 244
0.0984 2406.47010168 245
0.0988 2404.50177124 246
0.0992 2402.53114725 247
0.0996 2400.55824925 248
0.1 2398.58309749 249
0.1004 2396.60571289 250
0.1008 2394.62611693 251
0.1012 2392.6443317 252
0.1016 2390.66037983 253
0.102 2388.67428449 254
0.1024 2386.68606933 255
0.1028 2384.69575847 256
0.1032 2382.70337652 257
0.1036 2380.7089485 258
0.104 2378.71249985 259
0.1044 2376.71405642 260
0.1048 2374.71364445 261
0.1052 2372.71129055 262
0.1056 2370.70702167 263
0.106 2368.70086511 264
0.1064 2366.69284853 265
0.1068 2364.68299986 266
0.1072 2362.67134736 267
0.1076 2360.65791957 268
0.108 2358.64274532 269
0.1084 2356.62585369 270
0.1088 2354.60727407 271
0.1092 2352.58703593 272
0.1096 2350.56516919 273
0.11 2348.54170387 274
0.1104 2346.51667019 275
0.1108 2344.49009861 276
0.1112 2342.46201975 277
0.1116 2340.4324644 278
0.112 2338.40146356 279
0.1124 2336.36904832 280
0.1128 2334.33524994 281
0.1132 2332.30009981 282
0.1136 2330.26362943 283
0.114 2328.22587043 284
0.1144 2326.1868545 285
0.1148 2324.14661345 286
0.1152 2322.10517917 287
0.1156 2320.06258357 288
0.116 2318.01885865 289
0.1164 2315.97403646 290
0.1168 2313.92814907 291
0.1172 2311.88122857 292
0.1176 2309.83330707 293
0.118 2307.78441669 294
0.1184 2305.73458953 295
0.1188 2303.6838577 296
0.1192 2301.63225325 297
0.1196 2299.57980822 298
0.12 2297.52655461 299
Output written to file piston.csv
Directory: /home/hkmoffa/Cantera/cantera-1.7_develop/Cantera/python/examples/reactors/reactor2_sim
To view a plot of these results, run this script with the option -plot
